"model_bad_id","model_good_id","model_bad_name","model_bad_step","model_good_name","model_good_step","reward_bad","reward_good"
"0","80","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","51200000","89.525","30.474999999999994"
"0","81","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","64000000","90.282","29.718000000000004"
"0","82","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","76800000","88.235","31.765"
"0","83","RNN h=128 m=128 P2","64000128","RNN h=32 m=128 P1","80000000","88.127","31.873000000000005"
"0","84","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","12800000","92.644","27.355999999999995"
"0","85","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","25600000","89.656","30.343999999999994"
"0","86","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","38400000","89.411","30.589"
"0","87","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","51200000","87.996","32.004000000000005"
"0","88","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","64000000","88.047","31.953000000000003"
"0","89","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","76800000","88.463","31.537000000000006"
"0","90","RNN h=128 m=128 P2","64000128","RNN h=32 m=64 P1","80000000","88.18","31.819999999999993"
"0","91","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","12800000","92.301","27.698999999999998"
"0","92","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","25600000","89.916","30.084000000000003"
"0","93","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","38400000","89.371","30.629000000000005"
"0","94","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","51200000","89.869","30.131"
"0","95","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","64000000","90.061","29.938999999999993"
"0","96","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","76800000","89.357","30.643"
"0","97","RNN h=128 m=128 P2","64000128","RNN h=64 m=128 P1","80000000","89.665","30.334999999999994"
"0","98","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","12800000","93.571","26.429000000000002"
"0","99","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","25600000","88.279","31.721000000000004"
"0","100","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","38400000","90.472","29.528000000000006"
"0","101","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","51200000","88.0","32.0"
"0","102","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","64000000","87.055","32.94499999999999"
"0","103","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","76800000","88.674","31.325999999999993"
"0","104","RNN h=128 m=128 P2","64000128","RNN h=64 m=64 P1","80000000","88.752","31.248000000000005"
"0","105","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","12800000","92.895","27.105000000000004"
"0","106","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","25600000","89.665","30.334999999999994"
"0","107","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","38400000","87.865","32.135000000000005"
"0","108","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","51200000","88.83","31.17"
"0","109","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","64000000","87.48","32.519999999999996"
"0","110","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","76800000","87.412","32.587999999999994"
"0","111","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=False P1","80000000","87.31","32.69"
"0","112","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","12800000","91.572","28.427999999999997"
"0","113","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","25600000","88.811","31.188999999999993"
"0","114","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","38400000","90.309","29.691000000000003"
"0","115","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","51200000","88.676","31.323999999999998"
"0","116","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","64000000","86.066","33.934"
"0","117","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","76800000","87.83","32.17"
"0","118","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=False P1","80000000","87.853","32.147000000000006"
"0","119","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","12800000","89.192","30.808000000000007"
"0","120","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","25600000","90.325","29.674999999999997"
"0","121","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","38400000","89.347","30.653000000000006"
"0","122","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","51200000","87.891","32.108999999999995"
"0","123","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","64000000","89.821","30.179000000000002"
"0","124","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","76800000","87.606","32.394000000000005"
"0","125","RNN h=128 m=128 P2","64000128","NN h=64 sample_batch=True P1","80000000","87.428","32.572"
"0","126","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","12800000","92.431","27.569000000000003"
"0","127","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","25600000","87.346","32.653999999999996"
"0","128","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","38400000","87.196","32.804"
"0","129","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","51200000","87.438","32.562"
"0","130","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","64000000","88.35","31.650000000000006"
"0","131","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","76800000","86.562","33.438"
"0","132","RNN h=128 m=128 P2","64000128","NN h=32 sample_batch=True P1","80000000","86.362","33.638000000000005"
"1","0","RNN h=128 m=128 P2","76800128","RNN h=128 m=128 P2","64000128","87.319","32.681"
"1","1","RNN h=128 m=128 P2","76800128","RNN h=128 m=128 P2","76800128","87.469","32.531000000000006"
"1","2","RNN h=128 m=128 P2","76800128","RNN h=128 m=128 P2","80000128","86.838","33.162000000000006"
"1","3","RNN h=128 m=128 P2","76800128","NN h=32 sample_batch=False P2","12800000","92.035","27.965000000000003"
"1","4","RNN h=128 m=128 P2","76800128","NN h=32 sample_batch=False P2","25600000","89.102","30.897999999999996"
